Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
424,8.9,14,4.9,,,9.8,7.2,14.8,,,,,,
425,0.8,7.4,-4,,1.52,9.3,25.7,48.2,,,,,,
426,-0.7,3.4,-5,,,10.1,10,22.2,,,,,,
427,0.3,4.1,-3.5,,,10,9.1,18.3,,,,,,
428,2.1,8.1,-3,,,10,6.5,11.1,,,,,,
429,3.7,10,-1.4,,,7.6,5.6,14.8,,,,,,
430,5.3,11.2,,,,7.6,9.3,29.4,,,,,,
431,6.7,13.7,0.5,,,6.6,4.3,11.1,,,,,,
432,7.7,13,2.6,,,6.1,6.1,14.8,,,,,,
433,9.1,14,6,,,6.4,9.8,18.3,,,,,,
434,8.8,13.4,5,,5.33,9,13.9,37,,,,,,
435,7.7,10.5,2.7,,,10.8,28.7,44.6,,,,,,
436,5.2,10.5,0.7,,6.85,7.1,8.7,18.8,,,,,,
437,10.4,15,5.7,,,8.7,5.9,14.8,,,,,,
438,11.7,16.4,8,,,9.3,16.1,81.7,,,,,,
439,12.5,16.3,7.3,,,10,15.4,33.5,,,,,,
440,13.9,18.2,7,,,10.1,15.9,25.9,,,,,,
441,11.4,16.3,6,,,9.7,21.7,48.2,,,,,,
442,10.1,16.5,3.7,,,10.1,18.9,40.7,,,,,,
443,12.3,18.3,6,,,9.3,12.4,40.7,,,,,,
444,13.6,17.2,9.7,,,10,7.8,18.3,,,,,,
445,14.5,18.3,9.5,,,10,23.3,44.6,,,,,,
446,13.3,17.2,10,,,10,26.1,44.6,,,,,,
447,12,14.4,9,,,10,12.2,22.2,,,,,,
448,8.1,13,-1,,2.79,7.4,19.1,51.9,,,,,,
449,3.1,7.3,-1.5,,12.45,9.7,18,37,,,,,,
450,5.7,9.5,1.7,,,4.7,7.2,14.8,,,,,,
451,8.9,12.1,3.5,,,2.7,5.4,14.8,,,,,,
452,13.6,17.7,7,,,5,7.6,18.3,,,,,,
453,16.6,20.8,12,,0.51,6.6,9.4,18.3,,,,,,
454,18.2,22.1,14.3,,0.25,9.3,8,22.2,,,,,,
455,15.6,19,11,,,10,17.6,44.6,,,,,,
456,13.1,18.1,7,,,10.1,20.7,40.7,,,,,,
457,13.3,18,9,,,10,10.6,29.4,,,,,,
458,16.2,21.4,9.7,,,10.5,20.4,44.6,,,,,,
459,17.9,22,12.7,,,10,22.6,51.9,,,,,,
460,21.1,25.7,14,,,8,10.9,37,,,,,,
461,19.6,23.2,15.8,,,7.1,20,44.6,,,,,,
462,17.6,23,13,,0.25,9.8,16.9,33.5,,,,,,
463,17.7,23,11,,,8.7,25.6,48.2,,,,,,
464,10.6,15.5,6,,,10.1,26.5,55.4,,,,,,
465,10.4,15,4.4,,,10,7.4,18.3,,,,,,
466,13.2,17.5,7.6,,,10,8.3,22.2,,,,,,
467,14.9,18.4,9,,,10,8.9,18.3,,,,,,
468,13.3,17.6,8,,16.25,8.9,15.1,34.9,,,,,,
469,17.5,20.4,14.7,,,8.7,8.1,18.3,,,,,,
470,20.3,25,14.2,,,7.9,11.5,25.9,,,,,,
471,16.1,20.3,8,,,10.1,30.6,55.4,,,,,,
472,13.2,19.4,7.8,,,10.5,14.1,44.6,,,,,,
473,16.4,21.4,9.8,,,10,13.1,29.4,,,,,,
474,18.7,24,12.9,,,9.7,19.1,37,,,,,,
475,20.2,25.3,14.2,,,9.7,8.7,18.3,,,,,,
476,21.9,27,15.4,,,7.9,9.4,18.3,,,,,,
477,21.6,25.3,17,,,10,13.9,40.7,,,,,,
478,22.7,28.6,15.7,,,9.3,11.5,51.9,,,,,,
479,22.2,26,16,,,10,15.2,29.4,,,,,,
480,21.6,26.6,14.7,,,10,11.3,37,,,,,,
481,22.8,28,18,,,10,9.8,22.2,,,,,,
482,20.7,26.2,16,,,10,10.7,33.5,,,,,,
483,20.9,26,14.7,,,10,13,25.9,,,,,,
484,20.6,26,15,,,10,14.4,40.7,,,,,,
485,20.2,24.7,13.8,,,10,9.3,18.3,,,,,,
486,22.1,27.1,16,,,10,8.1,14.8,,,,,,
487,23.6,29.1,17.8,,,10,14.8,40.7,,,,,,
488,23.8,29,17.9,,,10,8.9,18.3,,,,,,
489,26.3,32.4,19.7,,,9.8,12.6,29.4,,,,,,
490,27.5,31.6,20.3,,,10,10,22.2,,,,,,
491,26.3,32,22,,,9.7,11.7,66.5,,,,,,
492,24.3,29.4,18,,,9.7,13.3,48.2,,,,,,
493,25.8,30.7,18.6,,0.25,10,9.6,22.2,,,,,,
494,26.9,32.1,21.2,,,10,13,59.4,,,,,,
495,26.2,31.8,22.3,,,9.7,16.1,61.1,,,,,,
496,24.8,29.1,18,,,10,15.7,40.7,,,,,,
497,22.2,28.1,16.6,,,10,23.5,44.6,,,,,,
498,23.3,28.5,16,,,10,8.9,22.2,,,,,,
499,22,27,16.1,,0.25,9.8,13,34.6,,,,,,
500,23.4,29.5,17,,,9.7,14.3,48.2,,,,,,
501,21.1,28,14,,2.79,9.7,15.2,74.1,,,,,,
502,18.3,24.2,13,,1.27,9.8,14.6,44.6,,,,,,
503,19.8,26,13,,,10,10,22.2,,,,,,
504,22.1,28,15.7,,,10,12.2,33.5,,,,,,
505,21.7,27.5,18,,,9.8,11.7,37,,,,,,
506,21.3,25.5,16.7,,3.81,9.8,14.3,37,,,,,,
507,20.5,27.4,15,,2.03,9.8,10.4,33.5,,,,,,
508,22.3,29.3,14.7,,,10,13.7,33.5,,,,,,
509,23.9,28.1,19,,,9.8,12.2,44.6,,,,,,
510,23.1,28.6,17,,,9.7,12.6,37,,,,,,
511,24.4,30.7,18,,,9.8,14.4,59.4,,,,,,
512,24.3,30.4,18.7,,,10,14.1,37,,,,,,
513,21.7,30,17,,,9.8,13.1,37,,,,,,
514,23.7,28.3,18,,2.29,10,8.1,22.2,,,,,,
515,25,29.3,18.8,,,10,9.8,22.2,,,,,,
516,26.9,31.7,19.7,,,10,10.4,25.9,,,,,,
517,28.9,35,22,,,10,14.6,37,,,,,,
518,28.9,35,22.8,,,10,23,44.6,,,,,,
519,29.6,34.4,23.6,,,10,10.7,25.9,,,,,,
520,29.8,34.6,23.1,,,10,9.8,18.3,,,,,,
521,30.2,34.4,26,,,10,11.1,22.2,,,,,,
522,29,34.5,25,,,9.8,15.2,44.6,,,,,,
523,28.8,34.2,22.9,,,10,13.5,33.5,,,,,,
524,25.3,30.7,17,,,9.8,17.8,59.4,,,,,,
525,22.2,28,17.8,,7.11,10,15.9,37,,,,,,
526,24.8,31.1,17,,1.52,10,14.4,37,,,,,,
527,27.9,34.2,21.4,,,10,9.3,25.9,,,,,,
528,30.2,35.5,23.2,,,10,12,25.9,,,,,,
529,31.7,37,25,,,10,10.2,22.2,,,,,,
530,30.9,36.3,23.7,,,10,16.3,33.5,,,,,,
531,25.2,30.9,19.2,,20.82,9.9,13.1,36,,,,,,
532,31.6,37,23.5,,,10,17.4,33.5,,,,,,
533,32,37.7,23.7,,,10,19.1,44.6,,,,,,
534,33.6,39.7,25.5,,,10.3,10.6,22.2,,,,,,
535,33.6,39.2,25.4,,,10,16.5,37,,,,,,
536,33.9,38.7,27.8,,,10,20.4,40.7,,,,,,
537,33,38,27,,,10,17,33.5,,,,,,
538,29.3,35.5,24,,,10,26.9,59.4,,,,,,
539,29.1,35,23,,,10.1,8.7,22.2,,,,,,
540,30.3,36.2,22.6,,,9.8,10,18.3,,,,,,
541,31.3,37.1,24,,,10,14.4,25.9,,,,,,
542,30.8,36.3,23.4,,,10,12.4,25.9,,,,,,
543,31.7,38.6,23.5,,,10,9.6,18.3,,,,,,
544,31.9,38.4,24.2,,,10,12.6,29.4,,,,,,
545,30.1,37.3,21.8,,,10,19.8,33.5,,,,,,
546,31.6,37.1,24.3,,,10,9.8,18.3,,,,,,
547,33.1,37.5,26,,,10,12.8,22.2,,,,,,
548,31.7,37.2,25.7,,,10,10,18.3,,,,,,
549,33.3,38,26.8,,,10,12,25.9,,,,,,
550,31.9,36.4,25.2,,,9.8,13.3,25.9,,,,,,
551,31.8,36,26.6,,,10,12.6,25.9,,,,,,
552,31.3,36,25.4,,,10,12.2,18.3,,,,,,
553,31.1,36.4,25,,,10,10.6,18.3,,,,,,
554,31.7,37,24,,,10,9.8,18.3,,,,,,
555,32.5,38.1,24.6,,,10,10.2,18.3,,,,,,
556,31.9,36.8,24.9,,,9.7,10.4,14.8,,,,,,
557,31.8,36.2,25.5,,,10,12.2,22.2,,,,,,
558,32.7,37,26.7,,,10,11.9,22.2,,,,,,
559,33.1,37.6,26.3,,,10,12.4,22.2,,,,,,
560,32.9,37.5,26.9,,,10,13.5,25.9,,,,,,
561,32.7,37.5,26.8,,,10,10.4,33.5,,,,,,
562,31.9,37.2,25,,,10,13.3,26.5,,,,,,
563,32.4,37.1,27.6,,,10,10.4,25.9,,,,,,
564,32.2,38,25.5,,,10,10,25.9,,,,,,
565,32.6,38,27,,,10,9.4,22.2,,,,,,
566,33.5,39.1,26.6,,,10,9.4,22.2,,,,,,
567,35.6,41,28.4,,,10,10.6,22.2,,,,,,
568,35.6,41.3,28.7,,,9.8,9.8,22.2,,,,,,
569,35.8,41.6,29,,,10,12.2,33.5,,,,,,
570,32.7,40.2,25.4,,,9.2,13.1,29.4,,,,,,
571,30.4,37.4,23,,,9.2,13.7,22.2,,,,,,
572,30,36,22.4,,,8.2,12.4,18.3,,,,,,
573,31.1,37,24,,,8.4,12.8,18.3,,,,,,
574,32.7,39,26,,,8.2,11.5,22.2,,,,,,
575,31.5,38,25,,,8.9,12.4,22.2,,,,,,
576,30.4,37,23,,,8.9,13.7,25.9,,,,,,
577,28.6,35.2,22,,,9.2,15.2,29.4,,,,,,
578,27.9,33.9,21,,,9.2,14.4,59.4,,,,,,
579,30.3,35,24.4,,,10,9.4,22.2,,,,,,
580,32.8,38,26,,,10,15.7,33.5,,,,,,
581,31.9,37.1,27.6,,0.51,10,16.7,33.5,,,,,,
582,31.7,36.6,26.9,,1.02,10,12,22.2,,,,,,
583,32.7,38.2,26,,,10,9.8,18.3,,,,,,
584,34.4,39.3,28,,,10,11.1,18.3,,,,,,
585,34.3,39.5,28.8,,,10,11.1,22.2,,,,,,
586,35,40.8,27,,,10,12.8,25.9,,,,,,
587,34.7,40.2,28.1,,,10,11.7,22.2,,,,,,
588,33.6,38.7,27.8,,,10,9.6,18.3,,,,,,
589,33.3,38.5,26,,,10,10.7,18.3,,,,,,
590,32.1,38,24,,,9.5,14.1,22.2,,,,,,
591,29.8,35,22.6,,,9.8,13.9,22.2,,,,,,
592,29.6,34.2,24,,,10,16.3,29.4,,,,,,
593,30.2,34.7,25.7,,0.51,9.8,13.3,22.2,,,,,,
594,32.2,37.9,25.7,,2.04,9.6,12.2,24.9,,,,,,
595,29.9,34.5,24,,0.51,9.7,13.5,37,,,,,,
596,28.4,33,23.7,,1.02,9.7,11.7,44.6,,,,,,
597,28.8,32.9,23.9,,,10,9.3,22.2,,,,,,
598,29.9,34.3,26,,,10,7.6,18.3,,,,,,
599,29.3,33.7,24.4,,1.53,9.9,10.5,30.5,,,,,,
